run_index	run_name	replicate	config_file	result_dir	fastq_file	genome	AAV	IS_site_bias	clonality	genome_fnam	AAV_genome_fnam	tes_panel_fnam	prob_file	empirical_sizes	sampling_prob_bed	expansion	events	seed	fastq_md5sum
7	HESI_ISA_simulation_007	rep3	config_files/HESI_ISA_simulation_007.yaml	simulation_output/HESI_ISA_simulation_007	rep3_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	100/900	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	[100, 1]	901	603	147a26028714f6807d933348bbff57f3
8	HESI_ISA_simulation_008	rep1	config_files/HESI_ISA_simulation_008.yaml	simulation_output/HESI_ISA_simulation_008	rep1_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	1000	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	1	1000	701	8a6033e6afd22c8fa06d536d08905be1
8	HESI_ISA_simulation_008	rep2	config_files/HESI_ISA_simulation_008.yaml	simulation_output/HESI_ISA_simulation_008	rep2_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	1000	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	1	1000	702	983f50d3fe4f72360ba491d2a16c6354
8	HESI_ISA_simulation_008	rep3	config_files/HESI_ISA_simulation_008.yaml	simulation_output/HESI_ISA_simulation_008	rep3_simulated_reads.fastq.gz	HG001	CMV-EGFP-WPRE	Liver	1000	../genomes/HG001_GRCh38.hap1.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_tes_panel.fa	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_breakend_prob.bed	../AAVs/CMV-EGFP-WPRE/CMV-EGFP-WPRE_ISlen.txt	../integration_site_bias/liver_integration_bias.bed	1	1000	703	5dadf7c469bfcb2fc10097f6b561da7b
9	HESI_ISA_simulation_009	rep1	config_files/HESI_ISA_simulation_009.yaml	simulation_output/HESI_ISA_simulation_009	rep1_simulated_reads.fastq.gz	HG001	rAAVrh74.MHCK7.microdystrophin	uniform	900/100	../genomes/HG001_GRCh38.hap1.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_tes_panel.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_breakend_prob.bed	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_ISlen.txt		[900, 1]	101	801	7c297f132d9bd4cd58e99985cc490585
9	HESI_ISA_simulation_009	rep2	config_files/HESI_ISA_simulation_009.yaml	simulation_output/HESI_ISA_simulation_009	rep2_simulated_reads.fastq.gz	HG001	rAAVrh74.MHCK7.microdystrophin	uniform	900/100	../genomes/HG001_GRCh38.hap1.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_tes_panel.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_breakend_prob.bed	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_ISlen.txt		[900, 1]	101	802	ac2fe0acdaaf5d8fd5d796afc2a00fb7
9	HESI_ISA_simulation_009	rep3	config_files/HESI_ISA_simulation_009.yaml	simulation_output/HESI_ISA_simulation_009	rep3_simulated_reads.fastq.gz	HG001	rAAVrh74.MHCK7.microdystrophin	uniform	900/100	../genomes/HG001_GRCh38.hap1.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_tes_panel.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_breakend_prob.bed	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_ISlen.txt		[900, 1]	101	803	2f99dec3d1255c3be9322edb93e81976
10	HESI_ISA_simulation_010	rep1	config_files/HESI_ISA_simulation_010.yaml	simulation_output/HESI_ISA_simulation_010	rep1_simulated_reads.fastq.gz	HG001	rAAVrh74.MHCK7.microdystrophin	uniform	500/500	../genomes/HG001_GRCh38.hap1.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_tes_panel.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_breakend_prob.bed	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_ISlen.txt		[500, 1]	501	901	182db7c09e839927632edb97a95b0210
10	HESI_ISA_simulation_010	rep2	config_files/HESI_ISA_simulation_010.yaml	simulation_output/HESI_ISA_simulation_010	rep2_simulated_reads.fastq.gz	HG001	rAAVrh74.MHCK7.microdystrophin	uniform	500/500	../genomes/HG001_GRCh38.hap1.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_tes_panel.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_breakend_prob.bed	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_ISlen.txt		[500, 1]	501	902	6226a6e10f591f8613f73ffae6b76a7a
10	HESI_ISA_simulation_010	rep3	config_files/HESI_ISA_simulation_010.yaml	simulation_output/HESI_ISA_simulation_010	rep3_simulated_reads.fastq.gz	HG001	rAAVrh74.MHCK7.microdystrophin	uniform	500/500	../genomes/HG001_GRCh38.hap1.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_tes_panel.fa	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_breakend_prob.bed	../AAVs/rAAVrh74.MHCK7.microdystrophin/rAAVrh74.MHCK7.microdystrophin_ISlen.txt		[500, 1]	501	903	a86dc798d47ce4b928475d8a53690361
